text,label
A teacher who is recognized throughout the community for their outstanding work with students.,91
A job fair where candidates are trying to impress recruiters with their qualifications.,3
A meet-up for language exchange.,87
A musician rehearses for their upcoming concert.,53
A party where someone is trying to impress others with their social skills and wit.,3
Being stalked by someone.,58
Podcast recordings,68
Being recognized for an achievement in front of others.,48
School bullying,63
Someone is criticizing you,15
A job promotion where coworkers are competing against each other,62
A best friend's birthday party with friends and family,41
A relative is unsure about moving to a new city.,65
A cooking competition where chefs compare their culinary skills,62
A football team scrimmaging during practice.,84
A reunion of former neighbors who are close friends,41
Accused of stealing someone's wallet.,21
Being surrounded by natural beauty and serenity.,66
A group of kids playing catch in the backyard.,84
A judge refusing to rule in favour of someone they know is guilty,82
Going to the dentist or doctor for a procedure,54
A salesperson making cold calls to potential clients.,78
Planning a team-building exercise for a corporate office,71
A firefighter risking their life to save a colleague trapped in a burning building,82
Doing yoga in a park,77
Dominance5,99
Developing strategies for corporate mergers and acquisitions.,12
A group of teachers seek advice from a respected educational leader on how to address cultural sensitivity in their classrooms.,94
Stargazing at night from a remote location with no light pollution.,39
A website needs to be designed and updated regularly.,2
An accountant working on tax returns for clients.,78
A lecture where people can ask questions and discuss ideas.,46
A job interview where the candidate is trying to show their qualifications and experience.,3
A factory floor during production hours.,76
Walking in the rain without an umbrella,30
Feeling intimidated by more successful peers,56
A holiday feast with traditional dishes,79
An employer denies time off or accommodations for employees with disabilities or personal needs.,98
Your parents expect you to follow a certain career path that doesn't interest you.,70
Creating DIY floral arrangements or centerpieces,73
A rapidly advancing virus outbreak,18
A woman drinks a cup of coffee.,61
A workout class with motivational music,86
A person is a victim of racism and discrimination in their workplace.,35
Your partner complains about the cleanliness of the house.,15
Your neighbor compliments your garden.,72
"An athlete who has overcome significant obstacles, such as injury or personal adversity, to achieve success.",91
A co-worker constantly talks at a loud volume and refuses to lower their voice.,16
A networking event where people can make professional connections.,46
Demonstrating bravery in the face of danger or adversity,64
A man opens a door and walks inside his house.,61
"When a person has a physical disability, they may require assistance with mobility or other daily activities.",75
Public speaking in a foreign language,54
A stock market game where investors compare their profits,62
Being pulled over for a traffic violation in front of other drivers.,85
Walking into a bar or club,27
"At a town hall meeting, citizens discuss a proposed city ordinance on marijuana legalization, sharing their opinions and concerns.",33
The club is afraid of the one member who always insists on their own way and is not open to compromise.,99
A fast-evolving weather situation,18
A person is dealing with a chronic health condition that has no cure.,35
Attending a mixed-gender book club,59
A community group requests guidance from a religious leader on how to handle a conflict within their organization.,94
Being publicly called out for a mistake at work.,85
"Illegally downloading copyrighted content, such as movies or music.",52
A congregation singing hymns during a church service.,74
A college student attending their first LGBTQ+ pride parade.,57
A teacher who dominates classroom discussions and silences opposing viewpoints.,96
You work long hours and have minimal time to exercise.,50
Giving a presentation in front of a large audience,54
Using performance-enhancing drugs in sports.,52
A babysitter is present and is counted on to care for children.,42
A spa day with pampering and relaxation,0
An intruder breaking into a home.,37
A factory owner polluting nearby watersheds.,36
Social interaction is possible.,46
A person exhibiting aggressive or violent behavior.,37
Giving a speech or presentation,28
A football team captain who leads his team to victory in a championship game.,90
A sibling who seeks attention may interrupt conversations and activities for their benefit.,95
Being physically or verbally harassed because of one's religious beliefs.,58
Receiving support from family during a difficult time.,45
An interactive storytelling session based on different cultural perspectives.,43
Attending a fundraiser for a local charity.,87
A person walking alone in a dark alley at night and hears footsteps behind them.,34
During a difficult exam in school,20
A forum exploring the impact of social media on society.,43
"A business owner disregards the input of employees, and makes decisions based solely on their own interests.",98
A day at the beach soaking up the sun,0
Being followed by a stranger in a secluded area,14
A baby needs to be fed and changed regularly.,2
"A confession where an individual expresses their emotions, secrets and feelings to another person.",38
A church or religious gathering where people can worship and socialize with others.,46
"At a student organization meeting, members share their ideas on ways to promote diversity and inclusivity on campus.",33
A bank where customers must not use cell phones or film inside the building.,51
A teacher berates students who don't conform to their strict academic standards.,98
Getting a flat tire on the way to an important event,26
Going for a jog in the morning,77
Running out of gas on a road trip,30
A voting booth where citizens must mark their choices privately and not show their ballot to others.,51
A doctor trying to convince you to switch to a new medication.,4
Disability accommodations,63
Conducting scientific experiments and research.,12
"A lawyer who has successfully argued and won high-profile cases, establishing a reputation as a skilled and respected legal professional.",91
Walking through the quiet aisles of a library or bookstore.,39
Receiving a surprise visit from a loved one.,66
A musician practicing for a big performance.,78
A charity fundraiser where you can give back while meeting new people.,60
"Walking alone in an unfamiliar, sketchy neighborhood",54
Your cable provider is always trying to upsell you on services you don't need.,16
A graphic designer works on creating a logo for a new business.,53
A decision needs to be made.,22
Sticking to a budget instead of overspending.,23
A boss who refuses to delegate may become overwhelmed and hinder team productivity.,95
A family road trip to a national park,81
A trivia contest.,24
Being unable to find a parking spot in a crowded lot,26
Lee’s graphic design is considered to be exceptional by her peers.,92
Your friend encourages you to drink alcohol even though you're sober.,70
A large-scale protest with changing locations and tactics,18
A person slips on a banana peel and falls in front of a large crowd.,47
A firefighter battling a raging blaze.,78
Sharing a workspace or office,88
Being talked down to.,31
"Paying for a wedding or other important celebration, including catering and entertainment.",83
Not turning to food as a coping mechanism for emotional distress.,23
Playing video games on a console or PC.,89
A house needs to be cleaned before the guests arrive for a party.,2
Going on a bike ride with a person of the opposite sex,59
Not being able to meet a deadline,56
Networking events,68
Choosing to forgive instead of holding onto grudges.,23
Selling homemade food without a proper license.,52
Someone is asking you for something.,8
Being forced to participate in non-consensual sexual activities.,58
An athlete training for the Olympics.,78
"A man tries to impress a woman by telling her he's a great chef, but then burns the meal he's cooking for her.",47
Radio interviews,68
When pursuing a certification or additional training to gain new skills.,55
"A birthday party where the guests express their joy, happiness, and surprise for the birthday person.",38
A singing competition.,24
Being unable to keep up with fast-paced work,56
Attending a professional conference,28
A room needs to be painted to give it a fresh look.,2
A science fair where students are trying to impress judges with their research projects.,3
"A young girl who feels excluded and alone at school, with no friends to turn to.",19
A concert where you bond over your favorite band's music.,60
A person may need reassurance that they are loved by their partner.,25
The team is afraid of the one member who constantly complains and brings down morale.,99
Buying a pet or adopting one,22
A romantic partner trying to get you to commit to a relationship.,4
A person gets lost in a dangerous part of town after dark.,34
A woman receives threatening messages from a former partner.,35
Attending family gatherings,88
A pregnancy where the expectant mother must avoid certain foods and behaviors.,51
An acquaintance comments on your outfit choice.,15
People are competing with each other.,24
"Waiting for someone at a cafe, while watching people pass-by.",39
Driving in heavy traffic or bad weather conditions,54
Having a surprise birthday party thrown for you.,48
Meeting your partner's family for the first time.,48
"Your significant other has a strict diet, and you feel pressure to follow it too.",70
A paperwork needs to be completed for a loan application.,2
Your coach calls you out in front of the team for not performing well.,15
A person is chased by a dangerous animal while hiking or biking.,34
A new parent who is struggling with postpartum depression and feeling overwhelmed by the responsibility of caring for a newborn.,19
Packing a nutritious lunch for a child's school day,79
An art student creates a sculpture using unconventional materials.,53
Fitness competitions or bodybuilding,27
Establishing a new community garden,71
A playful water balloon fight on a hot summer day.,17
Dealing with telemarketing calls during the day,30
A parent is concerned about their child's drug use.,35
Being trapped in a building on fire,14
Traffic during your morning commute,30
"A therapy session, where people express their emotions, feelings, and thoughts, to the therapist.",38
An outdoor camping trip where the campfire's warmth and smell are significant.,49
"Participating in a book club, and discussing literature",73
"Your coworkers are all attending a colleague's birthday party, but you don't know them well and don't want to go.",70
A police officer and a civilian on the street,69
A cult leader who demands absolute obedience and brainwashes their followers.,96
"A clown tries to perform tricks, but everything he does goes wrong, making the crowd laugh even more.",47
Jaywalking across a busy street during peak hours.,52
Being nurturing towards children or pets,73
Press conferences or publicity events,27
Someone is breaking rules.,52
"Spending time in nature, and appreciating the beauty around you",73
A high-ranking officer who disdains subordinates and demands blind adherence.,96
Sharing emotions with close friends and family,73
"In a classroom, students are expected to participate in class discussions and answer questions from the teacher.",7
"After a political rally, a diverse group of attendees from different parties and ideologies gather for a post-event discussion on current issues and solutions.",33
A post-workout protein shake,79
People who are present occupy different social roles or levels of status.,69
Experiencing a moment of pure joy or bliss.,66
"When a person has a chronic illness, they may require daily, long-term care.",75
Designing and developing software applications and systems.,12
Spoken word poetry performances,68
Joining a club or organization,88
A tour guide is present and is counted on to lead a group.,42
Parent-child dynamics,63
Conducting research on climate change and environmental issues to develop solutions.,12
Joining a mixed-gender salsa dance class,59
A blind date set up by mutual friends at a trendy restaurant.,60
Your boss calls you into his office to discuss your recent performance.,15
Launching a product in a competitive market,71
Artistic expression,63
"Serving in the military, participating in combat training and missions",64
Introducing yourself to a new group of friends.,48
Using a fake ID to purchase alcohol or cigarettes.,52
A town hall meeting with local politicians,11
The situation is simple and clear-cut.,61
Setting up a new business,71
A fishing derby.,24
Potential or actual romantic partners (for you) are present.,60
Not giving in to road rage while driving in traffic.,23
A cooking class where participants can learn and socialize with others.,46
A chef has to use just the right amount of seasoning while cooking a dish.,10
When publishing articles or books related to their industry or field of study.,55
Providing financial support for aging parents or relatives in assisted living facilities.,83
A busy emergency room during a crisis.,76
A sports team captain who consistently leads his team to victory.,93
"When attending seminars, conferences, or workshops to learn and network.",55
An employee may need reassurance that they will be able to handle a new project.,25
Being pursued by a group of people with malicious intent,14
A person is pursued by a stalker or someone with malicious intent.,34
Defending oneself or others in a physical altercation,64
Televised interviews,68
Volunteering for social causes related to women's rights and empowerment,73
Richard’s impressive writing skills have earned him commendation from his colleagues.,92
Holding a heavy object for an extended period of time.,80
Hearing a favorite song that resonates with your emotions.,45
A charity organization asking for a donation.,8
Decorating and creating a cozy home environment,73
Watching a TV series marathon from the comfort of your home.,89
People are participating in athletics or sports.,84
"In a focus group, participants are expected to share their opinions and insights on a product or service.",7
A survivor of sexual assault must face their attacker in court.,35
Celebrating a family member's graduation,81
Selecting the right home insurance policy,22
While jogging on a nearly empty exercise track.,39
Being fired or demoted from a job.,67
"When it comes to writing, Lily’s fellow writers consider her to be a gifted storyteller.",92
Walking into a room wearing a standout outfit.,48
Being sexually harassed at work.,58
A car crash involving multiple vehicles.,34
A pottery class where the sensation of wet clay is important.,49
The situation could arouse negative emotions.,67
"Hearing unexpected news, whether positive or negative",54
"Being stuck in a crowded or uncomfortable space (e.g. plane, train, bus).",29
"A group of people go on a roller coaster, but the ride malfunctions and they get stuck at the top.",47
A road trip with a playlist of iconic road trip songs,86
A boss asking you to work overtime.,8
A person is trapped in a burning building.,34
Blamed for losing important documents.,21
"A dog steals a man's sandwich and runs away, causing the man to chase after him.",47
Parenting a child with a co-parent,88
Being put on hold for hours when calling customer service,26
A lecture on the psychology of perception and memory.,43
When participating in a networking event and actively seeking out opportunities to better their career.,55
Engaging in physical training or weightlifting,64
Someone is counting on you to do something.,5
A coworker is considering leaving their job.,65
A child experiencing their first day of school,20
Getting lost while traveling in an unfamiliar place.,29
An academic exam where students compete for the highest score,62
Staying committed to a workout routine even on tough days.,23
A boss asking for a progress report on a project.,8
A sudden loss of consciousness in a public place.,37
Job interviews,63
Deciding whether to quit a job or stay,22
Organizing a community charity event,71
A wedding reception with a lavish spread of food,79
A courtroom where participants must speak respectfully and follow the judge's instructions.,51
Receiving compliments or praise for your efforts.,66
Selecting a supplier or vendor,22
Sitting by a cozy fire in a cabin in the woods.,39
A coworker trying to get you to take on more responsibility at work.,4
Being unable to complete basic household tasks,56
Losing your favorite pen or pencil,30
A friend asking to borrow your car for a weekend trip.,8
A passenger having a seizure on an airplane.,37
Press conferences,68
"Your coworkers are all wearing formal attire to a casual work event, and you feel pressured to do the same.",70
When pursuing a higher education degree to advance their career.,55
A respected lawyer or judge who has made a significant impact in the legal profession.,93
Feeling like you're being talked about behind your back.,31
Blamed for breaking a cherished family heirloom.,21
A surgeon performing a complicated surgery that lasts for hours.,78
Your family insists on you following a certain religion or belief system.,70
Your team is counting on you to score the winning goal.,5
A person stuck in an elevator,9
A game night at a local board game cafe.,87
A breakfast of fresh pastries and coffee at a local bakery,79
A teacher provides negative feedback on your essay.,15
While doing routine household chores such as washing dishes or folding laundry.,39
A scientist falsifying research data to secure funding.,36
A car passes through a green light.,61
Sitting at a desk with a poorly adjusted chair.,80
A romantic gesture where someone is trying to impress their partner with their thoughtfulness.,3
A language exchange program where people can practice speaking a new language and meet others.,46
Choosing a healthy meal option instead of indulging in junk food.,23
An engineer has to be precise with measurements and construction to create a stable structure.,10
A person trapped in a car sinking in water,9
A car malfunctioning and veering off the road,18
Attending a mixed-gender trivia night,59
A friend needs help managing their mental health.,65
"In a group project, members are expected to communicate and collaborate to complete the project.",7
"During a religious service, attendees are expected to participate in prayers and sing hymns.",7
A gym buddy praises your dedication to your fitness routine.,72
"A group of coworkers share their thoughts on the company's new advertising campaign, including their criticisms and suggestions for improvement.",33
Lying on a lumpy or sagging mattress.,80
A coach who mentors and inspires their team to greatness.,90
"A day at the amusement park, eating cotton candy and riding roller coasters",0
A manager threatens to fire employees who don't meet their unrealistic goals or standards.,98
A weight lifting competition.,24
A manager and an intern in an office,69
A businessman refusing to engage in unethical business practices,82
Being disliked or excluded by a social group.,85
You have a history of traumatic experiences.,50
Power is important.,63
A family member is diagnosed with a life-threatening illness.,35
A sudden car accident on a busy highway.,37
A family member may need reassurance that their loved one's death was peaceful.,25
"After undergoing surgery that requires rehabilitation, a person needs to be taken care of.",75
"A man tries to show off his dance moves, but ends up tripping and falling on the dance floor.",47
A military battle with unpredictable tactics,18
A victim of domestic violence in need of escape,9
Someone is blaming you for something.,21
A friend compliments your new outfit.,72
"During guided tours of museums, monuments or parks.",6
A hectic department store on Black Friday.,76
"Your coworkers all eat lunch together, but you prefer to eat alone.",70
A person takes a shower.,61
A bike needs to be assembled before it can be ridden.,2
Joining a sports team for recreational competition,0
A student may need reassurance that they will pass an upcoming exam.,25
"You find the same item in different locations or situations, but it's not clear why or how.",13
An author who has published multiple best-selling books that have become cultural touchstones.,91
A first date where individuals express their interest and attraction towards each other.,38
A hot air balloon ride where the sensations of altitude and temperature are significant.,49
Having a flight or travel plans cancelled or delayed.,29
Meeting with a potential mentor,28
Vandalizing public or private property.,52
Being the center of attention at a wedding or other celebration.,48
Having a successful performance or show.,66
A pilot flying a plane through stormy weather.,78
Volunteering with a mixed-gender group,59
Blamed for a failed business venture.,21
A friend who constantly insists on making plans and controlling the itinerary.,96
A music therapy session for individuals with special needs,86
Buying gifts for family and friends on special occasions.,83
A horseback riding excursion with amazing views.,60
Climbing a rock face,77
Deciding whether to invest in a startup company,22
"During an academic presentation, presenters are expected to communicate their research findings and answer questions from the audience.",7
Your sister is counting on you to bake her favorite chocolate cake for her birthday.,5
"Sensations are important (for example touch, taste, smell, and physical contact).",49
A police officer who apprehends a dangerous criminal.,90
Accused of not being there for someone in need.,21
Designing a new educational curriculum,71
A competitor who cheats may disregard the rules of the game and undermine the integrity of the sport.,95
A couple having a playful pillow fight in their bedroom.,17
"You engage in risky behaviors, such as drug use.",50
Being unable to find your keys when you're already running late,26
Analyzing market trends to make profitable investments.,12
Being diagnosed with a serious illness.,29
"Flying in an airplane, especially during turbulence",54
Losing your keys and searching for them,30
The situation could make you feel inadequate.,56
Asking someone not to do something that bothers you.,44
A police officer patrolling a high-crime area.,78
Feeling inexperienced in a job or task,56
A person is struggling with addiction and facing the possibility of losing their job.,35
When taking on additional responsibilities at work to demonstrate leadership qualities.,55
Engaging in DIY home repairs or woodworking projects,64
Discrimination based on religion or belief system.,31
A child choking on food.,37
A terrorist attack with uncertain targets,18
A bible study group.,74
A therapist trying to convince you to consider medication for your mental health concerns.,4
A mentor suggests you reconsider your career path.,15
A journalist refusing to publish false information,82
"Financing a major purchase such as a boat, RV, or vacation home.",83
The family is afraid of the one family member who has a history of stealing or borrowing without asking.,99
Watching romantic movies or reading romance novels,73
A woman experiencing pain and discomfort during sex and seeking medical attention.,57
A golfer perfecting their swing on the golf course.,84
A mechanic fixing a car engine.,78
A protest march against police brutality,11
Falling on stage during a dance or theater performance.,85
An examination of the complex factors influencing human migration patterns.,43
Your friends insist on going to a party that you don't feel comfortable attending.,70
Your mother is counting on you to call her every week.,5
A lifeguard is present and is counted on to supervise the pool.,42
A hiker lost in the wilderness,9
A group of childhood friends having a sleepover,41
A celebrity who demands special treatment and disregards rules or regulations.,96
You are the focus of attention.,48
Having your privacy invaded.,31
A packed baseball stadium on game day with cheering fans and blaring announcers.,40
A child learning how to ride a bike.,84
A polyamorous group navigating hierarchy and jealousy within their relationship dynamic.,57
Being lost in an unknown location,54
Being given unsolicited advice.,31
Webinars,68
A customer complains about the quality of your service.,15
A relative consistently talks over you at family gatherings.,16
Working as an information security analyst.,12
A woman realizing she is asexual and coming out to her partner.,57
A seminar on the evolution of consciousness and its implications for modern philosophy.,43
Physical threats are present.,34
Being threatened with blackmail or extortion,14
A hearing on a proposed change to the constitution,11
A neighbor is trying to decide whether to sell their house.,65
Being threatened by someone with a weapon,14
A person experiencing sexual harassment in the workplace.,57
Dominance1,95
You have unsafe sex practices.,50
"In a therapy group, members are expected to share their experiences and offer support to others.",7
You're hiking in the woods and come across an abandoned cabin with signs of recent activity.,13
A wedding ceremony where a bride walks down the aisle to her favorite song,86
"When a child is born prematurely, they will require special care in a neonatal unit or special care nursery.",75
Running in shoes with no arch support.,80
A painter must be precise with their brushstrokes to capture the picture's essence.,10
A wedding ceremony where the bride and groom express their love and emotions in front of their families and friends.,38
A team running drills on the basketball court.,84
A family road trip to a theme park,41
A seminar on the history of philosophy and its modern relevance.,43
A family brunch on the weekend,79
Unusual ideas or points of view are being discussed freely.,33
A scientist must be careful with data analysis to avoid errors and flawed conclusions.,10
Running a marathon,77
A judge sentencing a person to a harsher punishment than deserved due to personal bias.,36
A group study session at the library where you meet someone by chance.,60
Feeling excluded from a group,56
A rock climbing adventure where the feeling of the rocks is critical.,49
A baby shower with a dessert table,79
Speeding on the highway.,52
"A friend constantly insists on making all plans and decisions, disregarding others' preferences.",98
An exceptional doctor or scientist who has made groundbreaking medical discoveries.,93
A lawyer knowingly defending a guilty client.,36
A film set with multiple scenes being filmed simultaneously.,76
Your coach praises your performance in a game.,72
"In group projects, there's always someone who dominates the workload and insists on taking the lead.",95
A couple enjoying a picnic in the park,41
A political leader giving a speech announcing new policy,11
You have mental health issues such as depression or anxiety.,50
A family playing a board game together on a rainy day.,17
Religious hierarchy,63
"In a doctor's office, patients are expected to describe their symptoms and medical history.",7
"A museum where visitors express their emotions, curiosity, and admiration for the artworks or exhibits.",38
A family member is trying to decide whether to go back to school.,65
A software bug causing unpredictable errors,18
A fashion show where designers are trying to impress the audience with their creativity.,3
A mentor and a mentee in a mentorship program,69
"Warmer weather, when clothing becomes more revealing",27
"A teacher consistently calls on you in class, even when you haven't raised your hand.",16
Participating in a crossfit challenge,77
A person who is dealing with a chronic illness and facing a lifetime of medical treatments and complications.,19
Art is an important part of the situation.,53
A person experiencing a panic attack,9
Urban planning,63
"When a person has a terminal illness, they may require palliative care to manage pain and symptoms.",75
Discrimination based on gender or sexuality.,31
When setting and achieving personal or professional goals.,55
A sports bar packed with fans cheering on their favorite teams.,40
Working in a team project,88
A surgeon must be meticulous with their hand movements to make sure a procedure goes correctly.,10
Waiting for important medical test results,54
Going on a job shadow or informational interview,28
"You enter a crowded room and everyone immediately goes quiet, staring at you.",13
A meditation in a yoga class.,74
Volunteering at a food bank.,87
"A hospital is trying to manage a major health crisis while also dealing with staffing shortages, equipment failures, and patient complaints.",1
"Shivering in a cold, drafty room with no heat.",80
A dancer practices their routine for an upcoming performance.,53
Plagiarizing an academic paper.,52
A person who has entrusted you with a task may constantly micromanage and interfere with your progress.,95
Public speaking anxiety,56
During break time in workplaces.,6
Social media platforms where people compare their likes and followers,62
Achieving a personal best in a physical or mental activity.,45
An interactive workshop on solving complex mathematical problems.,43
Nursing a sick family member,20
A teenager who has suffered a serious injury or accident and is facing a long and painful recovery.,19
A company executive who creates a culture of fear to maintain control over employees.,96
A renowned scientist whose breakthroughs have revolutionized their field.,93
A chef who creates delicious meals that impress everyone who tastes them.,90
Wedding ceremonies or receptions,27
A first date where the person is trying to impress their potential partner with their interests and hobbies.,3
A club president who disregards other members’ opinions and arbitrarily makes decisions.,96
A married couple having a date night,41
A personal trainer coaching clients to reach their fitness goals.,78
"Being stuck in a hot, stuffy elevator.",80
Watching a beautiful sunset or sunrise.,66
Taking a group fitness class,88
"During a police investigation, witnesses and suspects are expected to answer questions from officers.",7
A teacher who helps students to succeed in difficult subjects.,90
Receiving spam emails in your inbox,30
The group of friends is afraid of the one friend who has made dangerous or risky decisions in the past.,99
Participating in a trivia night at a local bar.,89
Watching a magic show with family.,89
A sudden power outage in extreme weather.,37
A crowded subway car during commuting hours.,76
A neighbor complains about the noise level coming from your apartment.,15
Getting caught stealing from a store.,85
The workplace is afraid of the one employee who constantly micromanages and interferes with colleagues’ work.,99
Starting a family business,81
Having a visible physical deformity or disability that draws unwanted attention.,85
A cashier compliments your choice of groceries.,72
A person grappling with sex addiction and seeking support.,57
A homeless person in need of food and shelter,9
The family is afraid of the one family member who has addiction problems and becomes aggressive when under the influence.,99
The office staff are all in awe of Sam’s skills in data analysis.,92
Navigating a airport unfamiliar to you,20
Writing and publishing academic papers on various topics.,12
A scientific symposium on researching the latest insights into neuroscience.,43
A concert where attendees must stay in their assigned seats and not disrupt the performance.,51
Making new friends and connections.,66
Religion is relevant in this situation (for example a religious service or discussion),74
Someone may need reassurance that they are doing a good job as a caregiver for their elderly parent.,25
An artist who creates beautiful and inspiring works of art.,90
"A man mistakes a mannequin for a real person and tries to talk to her, only to embarrass himself in front of others.",47
Sitting in a cramped airplane seat.,80
"In a community center, a parent-teacher association meeting turns into a heated debate about the effectiveness of standardized testing.",33
Not achieving personal goals,56
Surfing the waves,77
The headstrong CEO of a company may ignore the advice of his board members and push forward with his own ideas.,95
A runner training for a marathon on a scenic trail.,84
Attending a networking event,28
Discrimination based on race or ethnicity.,31
A speed dating event.,87
"Your classmates are all buying the latest textbook for the class, even though it's been deemed unnecessary by the professor.",70
In restaurants during meals or gatherings.,6
Giving a presentation at work or in class.,48
Someone is trying to convince you of something.,4
In elevators while traveling to different floors.,6
A courtship ritual where participants must exchange gifts and follow specific communication patterns.,51
Running for a political office,28
A meditation session with ambient music,86
During a relaxing massage at a spa.,39
"Lying on a hammock by the beach, listening to waves crashing.",39
A political campaign volunteering opportunity.,11
A neighbor regularly tells you what you should be doing with your yard or house.,16
Visiting a theme park with friends and experiencing ride thrills,0
A person gets mugged while walking in a busy city street.,34
Playing beach volleyball,77
Starting a new job with an orientation session.,48
A married couple experimenting with different sexual positions.,57
A driver uses aggressive tactics on the road to get ahead of other cars.,97
Rachel is considered the best presenter in her department due to her mesmerizing delivery.,92
A picnic in the park with friends or family,79
"A parent insists their child take a certain career path, despite the child's own desires.",98
"When a person suffers from anxiety, depression, or other mental health conditions, they may require treatment and support.",75
Wearing a dress made of itchy fabric.,80
An earthquake causing widespread destruction,18
The situation could make people tense and upset.,29
You are being pressured to conform to the actions of others.,70
A camping trip with meals cooked over a campfire,79
A family member is struggling to find work.,65
A person grappling with the societal shame surrounding their sexual fetish.,57
When presenting a new idea to the team that shows ambition and creativity.,55
A resident trapped in a burning building,9
The group of friends is afraid of the one friend who frequently starts arguments and refuses to back down.,99
People are being physically active.,77
The group of friends is afraid of the one friend who always gets too drunk and unpredictable at parties.,99
Classroom presentations,68
A crowded subway car with the sounds of chatter and shuffling feet.,40
Participating in a paint and sip class with friends.,89
A beloved actor or actress who has played iconic roles over the years.,93
A sports team coming from behind to win,18
A spouse who demands obedience and belittles their partner's opinions.,96
Being unable to fulfill expectations or obligations due to mental health issues.,85
Physiotherapy and other allied medical fields,27
Being robbed or assaulted.,29
Two people reconnecting after a one-night stand and potentially building a romantic relationship.,57
Waiting for food delivery that's running late,30
A single parent who is struggling to make ends meet and provide for their family.,19
You're driving in a remote area and suddenly lose all cell phone reception and GPS.,13
Finding out your partner is cheating on you.,29
A lawyer refusing to take on a client they believe to be guilty,82
Being harassed or intimidated by a neighbor.,58
Playing a mixed-gender video game,59
Playing board games with friends and enjoying light-hearted competition,0
A restaurant patron who habitually complains to the server to exert control.,96
A sports game where fans can cheer and socialize with each other.,46
A professional athlete who has won multiple championships and awards.,91
"You're a witness to a crime or accident, but the details are murky and unclear.",13
Climbing or trekking up mountains.,39
A video game tournament.,24
When participating in a fundraising event or charity drive.,55
Being stuck in an elevator for an extended period of time.,29
A person experiencing a seizure,9
A political interest group rally on Capitol Hill.,11
Colleagues disagree on the best software to use for a project.,32
Being harassed or bullied.,67
Implementing new policies in a government department,71
"Political campaigns, where appearance can influence voters",27
Participating in a group discussion or debate.,48
A busy city street intersection during rush hour.,76
You have a sedentary lifestyle.,50
A coworker congratulates you on a promotion.,72
A high school student refusing to give up their seat on a bus to an elderly person,82
Being assertive and confident in social settings,64
"A military veteran who has earned numerous honors and commendations for their service, and whose bravery and commitment have inspired others.",91
A teammate asking for help with a difficult task.,8
A busy shipping port with multiple ships and cargo being loaded.,76
A relative is struggling with a health issue.,65
Writing in a journal or blog to express thoughts and feelings,73
Declining an invitation or request that conflicts with your values or priorities.,44
Hiking through a forest trail and playing an impromptu game of tag.,17
Your teacher is counting on you to prepare a class presentation.,5
A fashion show where designers compare their creations,62
A skilled musician who has made a name for themselves in the industry.,93
A construction site during multiple projects.,76
Being verbally harassed in public by a stranger,14
A parent forcing their child into a career they do not want.,36
A race where runners compare their finishing times,62
Deciding on a financial investment opportunity,22
Welcoming a new baby into the family,81
Being interviewed for a job or publication.,48
A recent immigrant adjusting to a new country,20
An art teacher leads an art history lesson in a classroom.,53
Being stranded in a remote location without provisions,14
